s,a,r,sp,d
1,2,10,2,3
1,3,10,6,3
2,2,9,3,1
2,3,9,7,1
2,4,31,1,1
3,2,9,4,1
3,3,10,8,1
3,4,10,2,1
4,2,11,5,2
4,3,8,9,2
4,4,9,3,2
5,3,8,10,3
5,4,9,4,3
6,1,30,1,2
6,2,8,7,2
6,3,10,11,2
7,1,9,2,0
7,2,9,8,0
7,3,11,12,0
7,4,9,6,0
8,1,8,3,2
8,2,7,9,2
8,3,10,13,2
8,4,8,7,2
9,1,8,4,1
9,2,7,10,1
9,3,5,14,1
9,4,9,8,1
10,1,10,5,0
10,3,6,15,0
10,4,7,9,0
11,1,8,6,3
11,2,10,12,3
11,3,10,16,3
12,1,7,7,3
12,2,9,13,3
12,3,10,17,3
12,4,9,11,3
13,1,8,8,3
13,2,4,14,3
13,3,11,18,3
13,4,10,12,3
14,1,6,9,1
14,2,5,15,1
14,3,5,19,1
14,4,9,13,1
15,1,6,10,1
15,3,8,20,1
15,4,4,14,1
16,1,8,11,2
16,2,9,17,2
16,3,9,21,2
17,1,9,12,1
17,2,10,18,1
17,3,11,22,1
17,4,9,16,1
18,1,8,13,3
18,2,4,19,3
18,3,10,23,3
18,4,9,17,3
19,1,3,14,0
19,2,7,20,0
19,3,4,24,0
19,4,10,18,0
20,1,4,15,2
20,3,5,25,2
20,4,4,19,2
21,1,8,16,2
21,2,10,22,2
22,1,8,17,3
22,2,9,23,3
22,4,8,21,3
23,1,9,18,3
23,2,3,24,3
23,4,10,22,3
24,1,3,19,0
24,2,4,25,0
24,4,9,23,0
25,1,6,20,0
25,4,3,24,0
