s,a,r,sp,density
1,2,12,2,1
1,3,11,7,1
2,2,9,3,3
2,3,12,8,3
2,4,9,1,3
3,2,12,4,1
3,3,13,9,1
3,4,12,2,1
4,2,13,5,1
4,3,15,10,1
4,4,9,3,1
5,2,13,6,1
5,3,14,11,1
5,4,12,4,1
6,3,16,12,2
6,4,13,5,2
7,1,8,1,1
7,2,11,8,1
7,3,9,13,1
8,1,11,2,1
8,2,12,9,1
8,3,13,14,1
8,4,10,7,1
9,1,8,3,3
9,2,14,10,3
9,3,11,15,3
9,4,11,8,3
10,1,11,4,2
10,2,13,11,2
10,3,13,16,2
10,4,12,9,2
11,1,12,5,0
11,2,15,12,0
11,3,15,17,0
11,4,14,10,0
12,1,12,6,3
12,3,14,18,3
12,4,13,11,3
13,1,9,7,0
13,2,12,14,0
13,3,15,19,0
14,1,10,8,3
14,2,10,15,3
14,3,15,20,3
14,4,8,13,3
15,1,11,9,2
15,2,12,16,2
15,3,13,21,2
15,4,12,14,2
16,1,13,10,1
16,2,14,17,1
16,3,17,22,1
16,4,10,15,1
17,1,12,11,2
17,2,13,18,2
17,3,17,23,2
17,4,12,16,2
18,1,14,12,2
18,3,18,24,2
18,4,14,17,2
19,1,7,13,2
19,2,14,20,2
19,3,17,25,2
20,1,11,14,1
20,2,12,21,1
20,3,16,26,1
20,4,14,19,1
21,1,9,15,0
21,2,16,22,0
21,3,16,27,0
21,4,14,20,0
22,1,11,16,1
22,2,16,23,1
22,3,20,28,1
22,4,12,21,1
23,1,13,17,0
23,2,17,24,0
23,3,21,29,0
23,4,16,22,0
24,1,12,18,2
24,3,19,30,2
24,4,16,23,2
25,1,13,19,3
25,2,15,26,3
25,3,14,31,3
26,1,13,20,1
26,2,15,27,1
26,3,16,32,1
26,4,16,25,1
27,1,11,21,2
27,2,19,28,2
27,3,15,33,2
27,4,15,26,2
28,1,15,22,3
28,2,20,29,3
28,3,16,34,3
28,4,15,27,3
29,1,15,23,3
29,2,18,30,3
29,3,20,35,3
29,4,19,28,3
30,1,16,24,2
30,3,16,36,2
30,4,20,29,2
31,1,15,25,1
31,2,15,32,1
32,1,14,26,2
32,2,14,33,2
32,4,13,31,2
33,1,14,27,2
33,2,15,34,2
33,4,15,32,2
34,1,18,28,0
34,2,19,35,0
34,4,14,33,0
35,1,19,29,3
35,2,15,36,3
35,4,15,34,3
36,1,17,30,0
36,4,19,35,0
